ImageId,class,x,y,width,height
000012_jpg.rf.b76b3c145d081a2a8ae2601c202bdc84,0,0.6939,0.5247,0.3620,0.4167
000028_jpg.rf.eddca58099464d1ee753acd002c8cb70,0,0.4721,0.4977,0.5306,0.4885
000031_jpg.rf.04130b24c79ed59da7be6300386f6c9c,3,0.4461,0.5214,0.6742,0.7857
000075_jpg.rf.d07e61a42c41760082eb270b5744e494,0,0.4801,0.5116,0.9601,0.9768
000085_jpg.rf.5d69d48feadc7c179cb10c6e80715325,0,0.2950,0.4805,0.3441,0.5362
000092_jpg.rf.37ce5aa85429cc82420216377669c7b2,0,0.5161,0.4949,0.9668,0.9656
000094_jpg.rf.2a5f78e3d6769c1102fc77f8fd58e307,0,0.3165,0.3794,0.5042,0.5730
000102_jpg.rf.e71810055d3fab04fd781f10be4bdce9,0,0.3870,0.4686,0.6097,0.6639
000108_jpg.rf.360a4e0d0f93c670b34afdf858529a9f,3,0.5757,0.3937,0.6292,0.7874
000108_jpg.rf.360a4e0d0f93c670b34afdf858529a9f,0,0.5175,0.3996,0.9275,0.7993
000110_jpg.rf.10be496f58391bfa58c63de1a0e42893,3,0.4945,0.4930,0.9889,0.7441
000110_jpg.rf.10be496f58391bfa58c63de1a0e42893,3,0.7557,0.2804,0.3069,0.3389
000110_jpg.rf.10be496f58391bfa58c63de1a0e42893,0,0.4956,0.5152,0.9709,0.9695
000110_jpg.rf.10be496f58391bfa58c63de1a0e42893,3,0.6547,0.7328,0.4755,0.4868
000115_jpg.rf.3f739e8efcded87925d619fdcc8ea59e,0,0.6564,0.4801,0.2821,0.4697
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2,,,,,
000151_jpg.rf.357e8d29dc5d2e6fbf60095a6181aa76,3,0.3462,0.8140,0.6622,0.2216
000177_jpg.rf.f0458623e6acfc7afe7799edc261f94a,2,0.6774,0.4259,0.1583,0.3515
000187_jpg.rf.51e368360f47c3bb8a7fb60ba592404d,2,0.8102,0.4281,0.1842,0.1505
000188_jpg.rf.65449d34bc1902850758c783b3a61b66,3,0.5458,0.4616,0.2455,0.3862
000216_jpg.rf.08f7474e93852af28a2f38fbdbd4a401,3,0.5020,0.4722,0.1656,0.1686
000216_jpg.rf.08f7474e93852af28a2f38fbdbd4a401,2,0.5022,0.4699,0.1693,0.1728
000226_jpg.rf.5bb9d7223f1e9b658d10a4a3ff3fc024,3,0.6899,0.2453,0.2005,0.4087
000226_jpg.rf.5bb9d7223f1e9b658d10a4a3ff3fc024,3,0.6891,0.3481,0.1942,0.1984
000235_jpg.rf.0437fd120925f5eb7c13b2508b7b1189,3,0.4298,0.5160,0.4763,0.5835
000236_jpg.rf.20a020ff6b1016442668f289e9dac099,3,0.6045,0.4903,0.3034,0.5659
000236_jpg.rf.20a020ff6b1016442668f289e9dac099,2,0.6046,0.4889,0.2976,0.5728
000240_jpg.rf.f22e95fd245f1a7ec0f5637e34b298fa,3,0.3602,0.4623,0.3456,0.9245
000240_jpg.rf.f22e95fd245f1a7ec0f5637e34b298fa,3,0.3001,0.4815,0.4562,0.8531
000245_jpg.rf.8b435b49b0a7df52d9b6312c39c221f8,3,0.4115,0.5102,0.2027,0.2735
000256_jpg.rf.fcd2c4360185fb75279517ff6fb5b63a,3,0.4513,0.2656,0.5512,0.2573
000256_jpg.rf.fcd2c4360185fb75279517ff6fb5b63a,3,0.5812,0.2703,0.7333,0.2538
000259_jpg.rf.5c23d431db2c1eb179eda4d12ab79c58,3,0.5900,0.6338,0.4119,0.3708
000259_jpg.rf.5c23d431db2c1eb179eda4d12ab79c58,3,0.5124,0.6294,0.2507,0.3717
000295_jpg.rf.31a8f21259abc368973034f1b913cf45,3,0.4912,0.5552,0.5968,0.2236
000295_jpg.rf.31a8f21259abc368973034f1b913cf45,3,0.4854,0.6009,0.6142,0.3127
000311_jpg.rf.23c9731a6bcdbeb9445517d325ad4468,3,0.7343,0.5588,0.5122,0.2786
000311_jpg.rf.23c9731a6bcdbeb9445517d325ad4468,3,0.1699,0.4342,0.2503,0.1595
000412_jpg.rf.55a7b54da6de547daecaead03d8588b5,3,0.5707,0.4848,0.3661,0.6262
000458_jpg.rf.7b9bbfaf31a01d260edafc53563601c5,3,0.4060,0.4627,0.1868,0.7670
000463_jpg.rf.7f7463b5513e7d0f69b98bea9945a1b2,3,0.3394,0.5066,0.2859,0.5273
000464_jpg.rf.284896a94b7e898a760c8e58791e6747,3,0.4448,0.6558,0.5905,0.4850
000464_jpg.rf.284896a94b7e898a760c8e58791e6747,3,0.4442,0.7483,0.5864,0.2920
000472_jpg.rf.85e5183b4b9560769e6b7b6111199451,3,0.6248,0.5118,0.4122,0.3321
000481_jpg.rf.4b9acd7c2760fc60fb4224783d46ca58,3,0.3511,0.5345,0.1388,0.9309
000487_jpg.rf.abbf3aba98dc2fd544f1aadd53627938,3,0.4692,0.4724,0.2056,0.4488
000501_jpg.rf.086472259d202d1609274a127e899b0e,3,0.4981,0.7400,0.9716,0.3886
000511_jpg.rf.dc2ceff2c54c3532b5ea34e544e3255c,3,0.5107,0.4931,0.8970,0.4051
000518_jpg.rf.1709b769fc259e84cff1cb85a1f74bbd,3,0.6250,0.5176,0.7244,0.8929
000518_jpg.rf.1709b769fc259e84cff1cb85a1f74bbd,3,0.5139,0.5207,0.9652,0.9586
000518_jpg.rf.1709b769fc259e84cff1cb85a1f74bbd,3,0.2669,0.3113,0.5269,0.4743
000527_jpg.rf.d4a1f1fa02058ea5f9e6d19a523e5118,3,0.4729,0.5263,0.6418,0.4170
000527_jpg.rf.d4a1f1fa02058ea5f9e6d19a523e5118,3,0.4786,0.4547,0.6401,0.2625
000566_jpg.rf.e30f2a55a0545c926e305362c52ddc53,3,0.4991,0.1432,0.8114,0.2334
000566_jpg.rf.e30f2a55a0545c926e305362c52ddc53,3,0.5100,0.1962,0.8359,0.3402
000566_jpg.rf.e30f2a55a0545c926e305362c52ddc53,3,0.7807,0.1214,0.2544,0.1491
000580_jpg.rf.5d3f3d883ef5df72947a498a8d59de1c,3,0.5995,0.4453,0.4356,0.5896
000602_jpg.rf.5b9b3371b4b65db50e3cebc99aed5c75,3,0.5320,0.4884,0.9100,0.5142
000602_jpg.rf.5b9b3371b4b65db50e3cebc99aed5c75,3,0.5892,0.4585,0.7423,0.4342
000609_jpg.rf.93dcaed7e6e0200e41a0021bfbacd449,3,0.3188,0.4091,0.1009,0.1307
000611_jpg.rf.9c2be3dd2fae9471a0dc14033bcde1e3,3,0.3333,0.2430,0.3371,0.1514
000656_jpg.rf.8bd0522e2da434d2b4195df09aa35b6e,3,0.3465,0.4301,0.1975,0.1588
000657_jpg.rf.3bdb2f5fbd9db5c982d6a5a66cbd4731,3,0.8492,0.4555,0.1333,0.3522
000671_jpg.rf.72a581d4d033ef3dee682586f9bf1ba4,3,0.6192,0.5412,0.1509,0.5629
000674_jpg.rf.935caef88737a30ad4c5bfb65f64fe75,3,0.4812,0.4712,0.2024,0.7611
