epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9265,1.68309,3.76012,1.76697,0.00662,0.36178,0.06631,0.0255,1.96319,4.44092,2.21268,0.000408497,0.000408497,0.000408497
2,32.0393,1.87117,3.18334,1.82278,0.82879,0.0875,0.07051,0.02556,2.00385,3.902,2.43002,0.000808825,0.000808825,0.000808825
3,37.9848,1.84915,3.04566,1.85398,0.60002,0.15129,0.08024,0.02607,2.11318,4.51673,2.61824,0.00119265,0.00119265,0.00119265
4,43.9003,1.91762,2.87257,1.84472,0.11538,0.19547,0.0758,0.03256,2.10262,5.65292,2.46769,0.00117575,0.00117575,0.00117575
5,49.8656,1.81781,2.70693,1.7697,0.14036,0.16232,0.12694,0.0439,2.00968,5.50923,2.41458,0.001151,0.001151,0.001151
6,58.1615,1.84398,2.69267,1.80332,0.36562,0.18195,0.1877,0.08808,1.93367,3.15199,2.1482,0.00112625,0.00112625,0.00112625
7,66.167,1.8096,2.59295,1.80349,0.56061,0.155,0.16996,0.08342,1.87117,3.28236,2.09972,0.0011015,0.0011015,0.0011015
8,73.785,1.75115,2.51099,1.79748,0.26076,0.28592,0.13762,0.05367,2.09681,3.95787,2.47204,0.00107675,0.00107675,0.00107675
9,81.3742,1.7318,2.43396,1.7578,0.30951,0.29134,0.23634,0.09751,1.83371,2.93588,2.1191,0.001052,0.001052,0.001052
10,89.4896,1.75012,2.43566,1.77594,0.29118,0.26661,0.222,0.09487,1.85855,2.78559,2.10989,0.00102725,0.00102725,0.00102725
11,96.8713,1.76735,2.38016,1.7494,0.70707,0.22994,0.23122,0.09386,1.95104,2.7645,2.32977,0.0010025,0.0010025,0.0010025
12,104.08,1.69637,2.24836,1.68606,0.3537,0.37188,0.31361,0.15365,1.7104,2.428,1.97907,0.00097775,0.00097775,0.00097775
13,111.516,1.66174,2.26302,1.71242,0.30922,0.3591,0.28029,0.12649,1.76636,2.71904,2.02315,0.000953,0.000953,0.000953
14,118.457,1.64078,2.13841,1.66538,0.68522,0.43513,0.39728,0.18442,1.75694,2.40691,2.00888,0.00092825,0.00092825,0.00092825
15,126.094,1.67425,2.17217,1.66996,0.56821,0.40844,0.36941,0.17373,1.69329,2.47531,1.89162,0.0009035,0.0009035,0.0009035
16,133.869,1.58077,2.08867,1.63368,0.33728,0.35009,0.30314,0.15739,1.64737,2.27247,1.90529,0.00087875,0.00087875,0.00087875
17,140.864,1.64272,2.12279,1.66272,0.37788,0.3649,0.31208,0.14705,1.70037,2.27315,1.95233,0.000854,0.000854,0.000854
18,148.771,1.58525,2.01767,1.60931,0.71819,0.34549,0.37349,0.17743,1.68826,2.19351,1.89554,0.00082925,0.00082925,0.00082925
19,156.702,1.5986,2.03004,1.65138,0.61426,0.33168,0.41549,0.19764,1.74395,2.10717,2.03216,0.0008045,0.0008045,0.0008045
20,163.841,1.58779,2.07293,1.64572,0.56671,0.28516,0.34183,0.14789,1.86963,2.28702,2.07553,0.00077975,0.00077975,0.00077975
21,171.394,1.53907,1.91301,1.58721,0.42642,0.40425,0.36708,0.17227,1.71161,2.11172,1.95213,0.000755,0.000755,0.000755
22,178.631,1.55145,1.96095,1.5927,0.28954,0.29903,0.32663,0.17427,1.69361,2.30317,1.8984,0.00073025,0.00073025,0.00073025
23,185.926,1.53688,1.90859,1.56704,0.59638,0.3413,0.40871,0.22157,1.58694,2.00608,1.84589,0.0007055,0.0007055,0.0007055
24,192.995,1.49322,1.82546,1.54227,0.44385,0.34764,0.3921,0.22849,1.52421,2.26159,1.77884,0.00068075,0.00068075,0.00068075
25,201.132,1.44436,1.71081,1.522,0.57354,0.3103,0.45221,0.23844,1.53081,2.11489,1.82042,0.000656,0.000656,0.000656
26,209.084,1.46147,1.73197,1.54312,0.57668,0.31419,0.39682,0.21694,1.52366,2.02382,1.78319,0.00063125,0.00063125,0.00063125
27,216.616,1.47548,1.81535,1.53481,0.39257,0.39796,0.35188,0.19514,1.54746,2.26062,1.79852,0.0006065,0.0006065,0.0006065
28,224.278,1.4097,1.70147,1.5101,0.74934,0.36215,0.41111,0.22597,1.54072,1.79336,1.81645,0.00058175,0.00058175,0.00058175
